label,text
neutral,"трек не отслеживается, товар в течении 90 дней так и не доставили, три звезды за то что вернули деньги, два раза открывал спор"
neutral,"следы грязи, торчали нитки , но в принцыпе не критично"
negative,на фото смотрятся красиво.в жизни как ночная рубаха выглядит.
neutral,"товар не пришел,деньги вернули"
negative,"Заказывала в конце августа, ничего не пришло. Продавец просил подождать, но ничего до сих пор нет. Деньги не вернули, товара нет."
neutral,"на стопу 24,5 (38 размер) еле натянулись"
negative,"я не получила заказ, продавец не вернул деньги"
negative,продавец отправил юбку на размер меньше
positive,Отличный товар. Девчонкам очень понравился. Цена вне конкуренции!!!
positive,This is the best shop. Very good! + Stickers
neutral,"не держится, отклеивается -пара движений и все"
negative,Обман и кидалово.
neutral,Описание неточное.
positive,товар не пришел.продавец вернул деньги. спасибо
positive,"куртка супер!! на ог 116 брала 6хл!доставка 2 недели, трек отслеживается."
neutral,"Заказывала 1. 05, заказ пришёл 7.08. Доставка конечно очень долгая, но носки хорошие, без затяжек, целые."
neutral,"Купила размер L , все по размеру, только не платье, а туника, сшито супер . длину по ниже было все идеально"
positive,"Мягкое качество, все по размеру. ОГ 104см взяла Xxl идиально. Отправили заказ 08.08.17 получила 04.09.17"
neutral,Не соответствует описанию
neutral,"Эта блузка чистая синтетика,а написано 100% cotton во первых,а во вторых цена для синтетики очень завышена и в третьих маломерка не соответствует размерной сетке."
neutral,"Размерная таблица не соответствует действительности. Для размера s оказались большие, либо вместо s отправили размер m,на штанах не было вшито ярлычка с размером."
neutral,"вещь понравилась,но мало.Узковато в бюсте."
positive,"Присоединяюсь к положительным отзывам. Продавцу спасибо. Пуховик соответствует описанию. Такой размер заказала, так как широкие плечи."
negative,"Заказывала размер xl, пришёл l. Размеры свитера не соответствуют описанию, длина 62 см (размер L), а пришёл 56 см! На фото кофта свободного кроя, по факту в обтяжку, ношу русский размер 46. Носить не буду! Будьте внимательны перед тем как покупать данный товар!"
neutral,"Всё бы ничего, но я рассчитывала на изделие из хлопка, как заявлено в описании. Это синтетика."
negative,"Заказ пришел быстро это плюс, сшита рубашка хорошо. Но на картинке кружево смотрится красиво, а на самом деле какое-то старушечье. Выглядит намного хуже, чем на картинке. А сама ткань, где нет кружева приятная и хорошая."
negative,"кардиган так и не приехал. открывала спор два раза. первый раз отменила по просьбе продавца, но когда и через 2 недели товар так и не приехал открыла второй раз. продавец отказался возвращать деньги, вмешался алиэкспресс. пока деньги не поступили, жду."
negative,"Ужасная кофта, несуразная, написано , что длина 72 см., а она 60 см!!! Кошмап"
neutral,"Качество хорошее, но размер не подошёл. Перед покупкой выслала свои размеры продавцу, он посоветовал размер L. На бёдра 106, талия 81, бюст 98, Лучше не полагаться на совет продавца, костюм оказался совсем в обтяжку, носить не получится, только перешивать надо. Написала продавцу, он ответил, что и так сойдёт."
neutral,"Качество довольно хорошее, где то нитки торчали, но не так критично. Заказ приехал относительно быстро. Мне по размеру не подошел, расстроилась. Все писали на наш XS сядет идеально, либо я меньше чем xs, либо рубашка все таки больше чем xs."
negative,"По неизвестным причинам, товар сначала долго отправлялся из самого магазина, а затем без каких-либо объяснений был возвращен продавцу. От продавца никаких объяснений и действий по повторной отправке товара не последовало, поэтому решила, что будет правильнее вернуть себе свои деньги."
neutral,"ткань не приятная к телу, такая царапающая сеточка, вышевкой много, поэтому кофточка тяжеленька, сетка обрезана не ровно, но это попровимо, вообщем китайская кофточка и это видно, много не ожидайте)"
negative,"Кусок тряпки, края не обработаны, нитки торчат, швы съехали в некоторых местах. Размер не соответствует. На рост 165 как майка короткая. Даже на один раз не вариант.. Если есть грудь-не берите, туда не влезет."
negative,"Нет слов о этом жалком магазине и продавце!!! Первый заказ - на ура ... и всё, приплыли!!! Последующие заказы (на более внушительные суммы) - не приходили!!! Каждый спор, только через вмешательство AliExpress!!! Продавец шантажировал, грозил блокировкой моей странички. Общение - просто издёвка!!!"
positive,"Платье супер , рекомендую, доставка до Москвы за 14 дней,мягкое, удобное , размер совпадает"
neutral,"На картине рукав оказался длиннее, чем на самом деле. Если вы немного полней, чем на фото, так уже смотреться не будет."
neutral,"Ожидание долгое и нудное. Товар не пришёл, продавец вернуть деньги отказался. Вернул Али вмешавшись в спор. После этого продавец написал что я должна дать ему положительный отзыв потому что Али вернёт мне деньги. Лови, мне не жалко."
negative,"Заказ ждала 3 месяца, так и не получила товар. Писала продавцу с просьбой вернуть деньги, сначала шёл на контакт, просил подождать ещё.. теперь он даже не отвечает! Ни товара ни денег! Не рекомендую заказывать у этого продавца!"
negative,трек отслеживался вес путь и быстро дошел.сама ткань очень ужасная просвечиваеться если на большую попу.костюм таких денег не стоит.очень разачерованна
positive,"Куртка классная, качество на высоте, отправляли долго, почти 3 недели, но и пришла за 3 недели. Довольна, рекомендую."
neutral,качество хорошее.но размер не соответствует.очень маламерят
neutral,"Цвет странный похож больше на полинявший белый, чем на серый. Картинке не соответсвуют. рукава, как не разглаживай, торчат некрасиво. Носить не буду"
neutral,"Платье синтетика, чисто на пляж ходить. Но на рост 176 см хорошо подходит"
neutral,ткань оказалась очень тонкой
neutral,вместо платья штаны пришли
positive,"Комплект очень понравился. Без дефектов. Мои параметры 85-63-93, взяла размер М. Идеально подошел. Цвет больше желтоватый, но тоже очень хорошо выглядит. Доставка быстрая. Трек отслеживался. Рекомендую."
negative,"Не покупайте! Размеру не соответствует, большой, безразмерный! Рукава короткие, даже на мой рост 167 см- размер м! В жизни ношу 42 размер. Качество ткани ужас! Самая худшая покупка!"
positive,"Хорошая , мне нравится )цвет красивый ,рада ,что выбрала именно этот ,хотя сначала я хотела розовый ,не было моего размера ) качество нормальное ,с удовольствием буду носить ,трек отслеживался ,доставки недолгая ,Спасибо продавцу )"
positive,"ковта тонковата для осени и весны не подойдёт только на лето и ещё рукава коротковаты . размер подошёл ношу свой 48 , продавец общительный , доставка быстрая . Спосибо за маленький подарок мне приятно ."
positive,Нормальное платье
positive,"Отличная водолазка, материал невероятно приятный, качество материала намного лучше, чем я ожидала и чем кажется на фотографиях. Я очень довольна этой покупкой"
neutral,короткие рукава. короткая кофта 51см спереди. рукава от моего плеча 52см. качество хорошее. детская короче толстовка. капюшон тож короткий
neutral,качество плохре
negative,мне не понравилась! прозрачная и маленькая! не заказывайте!
negative,"Трусы сшиты неправильно , научитесь шить"
neutral,"Свитер пришёл с дыркой и затяжкой. Написала продавцу, но он не отвечает. Товар пришёл через месяц."
neutral,все круто но мало ((
neutral,"Посылку не получила, деньги вернули"
neutral,"На мой рост165,платье очень короткое.И на фото оно выглядит лучше ,чем в реальности.Я не в восторге от платья."
negative,"Не соответствует фотографии, сидит он абсолютно не так"
negative,Пришёл заказ совсем не тот размер который я заказывала!!!!Больше заказывать не буду!
positive,"отлично, по размеру"
negative,Кофта отвратительная
negative,размер не соответствует заявленному...
positive,Очень хорошо
negative,"Ненадежный способ доставки! заказывала у другого продавца, так трек отслеживался вплоть до города доставки. Эта же посылка так и веселится в Шарапово. Плюс очень маленький срок для защиты покупателя. Продавец даже не продлил. Красивый гарнитур, но к сожалению, могу судить только по картинке. Продавец, отдельная просьба, чтобы не получать низкие баллы, проверяйте посылки на правильность. не могла таможня просто так не пропустить посылку. Считаю, что это вина продавца. Очень-очень жаль"
positive,"жаль что не пришел, но продавец вернул деньги. за это только 5 звезд."
negative,"качество самой ткани хорошее, но уже после второй носки полез рукав и просто начал расходиться по шву , шов вообще никакой ,слабый, разлетелся разом, в самый неподходящий момент"
neutral,"Цвет не такой как на фото, он бордо, можно на размер меньше. Оооочень линяет, еле ванну оттерла. В целом качество хорошее, хлопок, доставка быстрая. Так что можно брать."
negative,"Ужасно неровные швы, очень плохо пошито, не советую"
neutral,долго шло+качество пошива ужасное
neutral,Тонкая синтетическая ткань. На лето. расцветка ничего. нужен пояс
positive,Очень крутые !!!!всем советую ) яркие и не просвечивают )
positive,"Отличная рубашка, подошла по размеру, нитки не торчат, советую!"
positive,"курточка очень хорошая, качественная ткань и отличная подкладка. на мой рост 176 оказался коротким рукав, пришлось отдать племяннице."
negative,"шапки разного размера . отправлял долго, умоляла его . продавец плохой ему не нужны клиенты такое ощущение"
neutral,немного маловато но сойдет
neutral,Заказывала размер D. По факту скорее на С максимум.
neutral,"Доставка очень быстрая. Шарф мягкий, но очень тонкий, не смотрится объемно на шее:(("
negative,"ужасная обработка краев, точнее ее вообще нет, плохая ткань, короткие рукава"
neutral,Качество не очень и оно не расстёгивается
positive,классный кардиган!Доставка супербыстрая!
positive,"Поскольку я обожаю уютные мягкие халаты, конечно же, не смогла пройти мимо этого. Заказывала в сером цвете, с мордочкой ослика на капюшоне. Пожалуй, этот то приятное исключение, когда даже взрослые могут позволить себе побыть детьми: халат действительно классный, ощущаешь себя в нем очень комфортно и дурашливо. Мягкий до невозможности, теплый и удобный. Правда, материал довольно толстый, поэтому слегка визуально полнит в застегнутом виде. Но это мелочи в сравнении с тем, насколько он приятный. Рекомендую!"
positive,"Джинсы класс , заказала на свой обычный s , такой же s сели прям впритык. Пришли быстро , я довольна"
neutral,"качество неплохое,тонкий вязаный трикотаж в мелкий рубчик, но размер, только на плоскую девочку подростка,поэтому 3 звезды"
negative,"Заказ делала ещё в мае, но он так и не пришёл! Деньги вернули"
neutral,Штаны на гнома сшиты. Доставка чуть меньше 3-х недель до Москвы.
negative,товар я так и не видел! но деньги вернули быстро
neutral,"плюс только в доставке курьером, материал просвечивает , все трусишки видно ,подкладки нет качества пошива жесть -кривой шов сзади снизу и сверху , придется перешивать эти швы , но след то от старой кривой строчки останется , так что вещь испорчена, али вернул немного денег на перешив"
neutral,Размер не соответствует. Кривые швы.
negative,заказ пришел довольно долго.продавец отправил товар и через неделю написал что отменил транспортировку. т.к якобы я не оплатила.после того как проверил отправил. на счет товара.на кофте есть пятна от масла и кружево порванные оборванные.ощущение такое что этот товар много раз примерялии ...в общем я очень огорчена. не советую
negative,"приходит откровенно кустарная работа не опытным швеями. уже 2рой заказ и все криво и косо. нитки петляют, и строчки прыгают. вырезают по выкройкам тоже криво. спор выиграть не удается у этого продавца уже не в первый раз. скидку вообще не дает, лишь обещает. служба али закрывает споры с отсылкой обратно. понятно, что сдать не будешь, расходы на почтовую пересылку атомные. так и живут китайцы припеваючи ((("
neutral,"На 42 толстовка большая,поверила отзывам и заказала размер m на 40-42,непонятно смотрится очень простая и огромная."
negative,Прошито отвратительно.
neutral,Came a bit broken
neutral,"кофта очень короткая, длина от плеча всего 50 см."
positive,отлично.
neutral,"Кофта не оправдала моих ожиданий, но в целом нормально:)"
positive,"Отличное качество, брали на размер больше. Тк маломерки )"
positive,"Доставка в МО 13 дней, но плюс еще дней 5 продавец оиправлял товар. Так что это не самая быстрая посылка в моей жизни) Сама рубашка как всегда очень хорошая. Не в первый раз уже их беру. Ткань плотная, после стирки не садится и не линяет. Цвета держит хорошо. Воротник плотный, но не каменный, и тоже отлично держит форму. Пара ниточек торчала, но совсем не критично. Размер М на 86-69-89 все как надо: не стягивает и не висит. Рукава на рост 158 более чем длинные. Спасибо продавцу!"
negative,"Ужасно, открыла спорт , деньги не вернули!! Ну видно же не соответствует описанию"
neutral,Носки маленького размера. Думаю 36-37.
neutral,Таблица размеров неточна.Ткань платья неважная.
neutral,"Цвет приятный, как на фото. Синтетика. Почитала в отзывах что маломерит. Пришла огромная"
neutral,"Очень странный пошив. Зимние, но укороченные смотрится ужасно."
negative,не соответствует размеру. качество как у тряпки для пола. плохо. разочарована
positive,"все как в описании, по размеру подошло"
negative,очень не довольна!совсем не то ч то на фото и не такая как в отзывах!увидела бы в магазине не взяла бы ни за что!
neutral,"ожидала лучшего , сейчас посмотрела близко не купила бы даже за половину стоимости тонкая синтетика и всё"
positive,"На параметры 82-66-92 заказывала S - отлично села, единственной рукава на рост 1,64 впритык. Кофта очень мягкая, сшита аккуратно."
positive,"Товар не получила, деньги вернули"
positive,Осень красивый и качественный лифчик
negative,Заказывала размер 2 XL. Реально размер S! Хотя на лейбаке стоит 2 XL!!! В результате даже не смогла одеть их!!! Неужели экономят материал? Очень жаль!
positive,"Куртка отличная просто класс!!!!! Продавцу большое СПАСИБО! ДОСТАВКА за 3 недели курьером. На свой 46 заказывала L но у кого большая грудь , то будет мала."
positive,класс
negative,Dear seller. In the annotation of the goods you declare a white duck down. Real-synthetic filler. You can not so deceive the buyer.
positive,Отлично.
positive,"лосины очень хорошие,дошли быстро"
positive,"Хлопок,сшита качественно,немного стрейчевая,воротник с манжетами проклеены средней жесткости.На грудь 96 L в самый раз,талия конечно велика,можно увеличить выточки по фигуре."
positive,"джинсы ,пришли меньше чем за месяц,на свой 25-26 размер заказала 26,по размеру подошли хорошо ,но вот по росту короткие ,мой рост 162, обидно,я не люблю короткие джинсы"
negative,"Продавец обманщик, как и ниже отзыв и у меня точно такой же, сначала дал лживый трек и я долго ждала потом я открыла спор он написал что вышлет , и опять не выслал , рассказывал про какие то скидки и т д,, долго вела разговор , но деньги вернули.. не заказывайте здесь!"
negative,"Отвратительный продавец! Заказала сразу 4 вещи из его магазина! 2,5 месяца тишина! Открыла спор, но денег так и не вернули!"
neutral,"Не понравились, жёсткие и морщинятся"
neutral,"материал слишком тонкий,похож на капрон."
neutral,"Супер быстрая доставка. На этом плюсы закончились. Кофта маленькая. На рост 176 рукава чуть ниже локтя. На параметры 88-67-94 тянет в плечах и подмышках. От кофты сильный химозный запах. Решила я её постирать в холодной воде. Уж не знаю, чем её китайцы красят, но вода стала тёмно бордовой. На фото процесс стирки - тазик с кофтой"
neutral,"очень долгая доставка, материал отвратительный"
positive,"лучшие штаны в мире. качество, цвет доставка просто великолепны!!!!"
positive,"Думаю, что всё замечательно! Почему ""думаю"", потому что отправила в другой город, любимой племяшке-Машке. Ещё с Машей не переговорила и про носочки не спросила. :-) Спасибо продавцу!"
positive,товаром довольна
negative,"Товар я не получила. Попросила продавца отправить посылку ещё раз. Продавец сказал ок, но доплати денег. Я в шоке. В итоге платья нет и оплаченные мной деньги за заказ не возвращают."
neutral,"Хорошая ткань, формат, но ошиблась размером))) а так сойдёт))"
negative,"платье пришло бракованое,но деньги вернули."
positive,"Отличная кофта, качество супер!!!! доставка курьером"
positive,"Очень простое, тонкое платье, смотрится немного колхозно. Ну цена=качество. На параметры 98-74-98 заказала л. По размеру подошло идеально"
negative,размер не соответсвует описанию((( продавецо отказался вернуть часть суммы(( не советую
neutral,"товар неплохого качества,если бы не одно но - одевается комбинезон снизу вверх, рассчитан на бедра до 114 см( размер 4 xl) а ширина горловины открытой полностью всего 84-86 см.И получается что одеть комбинезон невозможно, не порвав горловину.Производителю нужно удлинить замок-молнию ."
positive,Отличная рубаха! Пахнет даже приятно! 5xl на российский 52-54. Спасибо!
positive,"Быстрая доставка, хорошего качества, без запаха. продавца рекомендую."
positive,"Заказывала 2 футболки - серую и белую. Белая более яркая и очень четкая, но зато белая сделана из другого материала, более мягкого на ощупь, но, по видимому, более синтетического. Заказ до Москвы шел чуть больше месяца. Обычно ношу размер S, брала M - подошел отлично."
positive,"Качество товара на высоте, ткань плотная, сшита шикарно, цвет действительно белоснежный, длинна по середину бедра, на мои параметры 84-70-90 взяла М, села прекрасно, по спинке ровненько, никаких складок и загибов. Продавец отвечает сразу. Доставка быстрая, 16,09 оплатила, 4,10 получила, Спасибо большое продавцу за товар,"
neutral,"Размеры не соответствуют, я ношу s, заказала эту пижаму XL и она оказалась мне маленькая - расстроена"
positive,"всё супер,без запаха,заказала м на свой 44"
positive,"Очень симпатичный топ, но коротковат"
neutral,"на 42 размер максимум, рукава короткие и длина тоже. Качество нормальное."
negative,как только стала надевать затрещали по швам
neutral,"очень тонкое, прозрачное и отовсюду веревки торчат"
negative,"Товаром осталась недовольна. Маркировка не соответствует своему размеру. Продавец должен предупреждать о том, что товар маломерка!!! Размер 5XL на 95 кг при росте 170 см не налазят. На животе выше, чем сзади, плохо тянутся, штанины короткие. Из-за малого размера на попу не налазят. Очень расстроена, 710 рублей выкинула в мусор."
negative,продавец не отправил блузку для для школы 3 месяца и нет ужас ужас
negative,"Цвет совсем не такой как на картинке, слишком яркая и смотрится очень дёшево. Красная цена 500 рублей, сделано всё очень некачественно"
positive,"товар отличный, продавец общительный , Сдек молодцы ,доставили к дому. Всем спасибо. Товар шёл месяц до Ижевска это нормально. На 48-50 взяла на осень xxl на зиму буду брать xxxl. Качество отличное - рекомендую этого продавца и доставку Сдек. Спасибо !!!"
positive,"Дошли чуть больше, чем за месяц. Еле налезают на колено, плотнее, чем я думала."
negative,"Ужасный продавец, мало того что товар не пришёл, деньги не вернули.. Никому не советую этого продавца!!!"
neutral,"Печать на ткани краской ужасного качества, краска слипается, к ней все прилипает"
negative,Очень прозрачное
negative,товар не получила. но продавец вернул деньги
negative,"Не пришла посылка. Не открывала спор до последнего, ждала. Не успела открыть спор даже!((("
negative,Заказ не получила. Было два продление. Рода вёз деньги вернул.
neutral,"Качество хорошее, но рукава очень короткие:((("
positive,не в размер
positive,Ожидала полноценную повязку. По качеству на троечку. 40 рублей и тех не стоит.
negative,"Думала будут теплые леги, а это тупо колготки с начесом и без пятки((("
positive,"Кофта хорошая, все как на фото, спасибо"
negative,"Цвет, ужасный не то что на фото. Швы не аккуратные."
neutral,"штаны по качеству и размеру не плохи, но сели ужасно"
neutral,"шло полтора месяца, на 54 размер заказывала 6xl, в спине мало и рукава узкие, ткань приятная. Не понравилось"
positive,"Спасибо , но принт выполнен не аккуратно , края торчат , нитки торчат ! В остальном обычная футболка , за такие деньги нужно делать на совесть , без косяков!"
neutral,Футболка на 3+.
positive,"Наконец-то они пришли))) шли долго (2,5 мес.), трек неправильный и я уже отчаялась их получить, но зря! Труселя отличные, как на картинке!!! На 48 р/р заказала XL, но за время их пути я успела похудеть на целый размер и сейчас у меня 46 р/р и на похудевшую попу они сели отлично. Думаю, что на прежний размер они сели бы как на барабан. К покупке рекомендую!!!"
positive,Крутые! Пришли в идеальном состоянии
neutral,"платок хороший,но прям посередине огромная зацепка-не приятно"
negative,"материал дешевый,блестит,я думала они из экокожи,а это какой то дешевый блестящий материал,да и к тому же они короткие,рост 170,ношу М,заказала L ,впринцыпе натянула НО они короткие,не понимаю тех кто писал что на 170 длина норм,видимо у них ноги короткие,вообщем Нерекомендую!!!!не покупайте,обман"
neutral,"На рост 170 впритык, очень глубокий вырез, ткань тонкая, качество среднее, мне кажется не стоит своей стоимости"
neutral,"Заказала два размера , Л и Хл не чем не отличаются , сидят одинаково , на рост 166 , подошли отлично) на свет просвечивают"
positive,"всё супер! размер универсальный,качество отличное,запаха никакого нет,доставка месяц до МО, буду заказывать ещё! спасибо большое!"
positive,хорошая
positive,"все хорошо,но как лосины не поносить,больше как утепленные колготы,ну и два швамне очень удобно,но привыкнуть можно"
negative,"Очки так и не получила,деньги вернули,ждала 3 месяца(((("
positive,кофта отличная. на 48 размер заказала 2xl. нормально. можно было и на размер меньше.
negative,маленькая. заказала 3XL и не прошла по грузи (((( но качество рубашки просто бомба. материал просто супер
negative,"Сшито ужасно, по длине длинное, не как на фото, рукава как урод, ну а в бёдрах только на мамонта надевать."
negative,не вздумайте брать подделка!!!!
negative,"товар не пришел, но продавец вернул деньги , после вмешательства службы алиэкспресс"
negative,На рост 168 колготки маловаты и к тому же черные очень противно блестят на солнце.
positive,"Толстовка отличная ,качественная ,утепленная,Рекомендую."
negative,Товар не отслеживался и не пришел. Ждал почти 3 месяца. Продавец отмазывался и просил ждать еще. В итоге по спору деньги вернула служба алиэкспресс
neutral,"платье я получила меньше чем через месяц, внешний вид не плохо по платью швы ровные но хлипкие​ ,запах присутствует как сыростью залеженостью, приблизительно выше колен на см 16-20 этикеток нет значит сшили где?многие догадаются.очень не понравилось что присутствует на спине маленькое жёлтое пятно это не приятно поэтому я занижаю оценку."
neutral,"Товар не соответствует описанию. Брюки зауженые, а не широкие."
neutral,"Заказала в этом магазине платье и блузку. Но продавец прислал только блузку. Я писала сообщения продавцу несколько дней с вопросами где платье и как так получилось, потому что до конца защиты оставалось несколько дней. Но продавец стойкий!!! Молчал, как партизан. Полный игнор! Мне ничего не оставалось, как открыть спор. И продавец сразу ответил, что вторая посылка в пути и написал трек номер. Спрашивается как я могла знать что продавец отправил один заказ разными посылками с разными треками?! К качеству товаров у меня претензий нет, но продавец отвратительно относится к своим клиентам, он должен был предупредить или хотя бы ответить на мои сообщения!"
positive,Ковточка понравилась! Без брака! Доставка две недели!
positive,"Достаточно хорошее качество, швы выполнены аккуратно. Кольца пришлось подкорректировать самой (легко гнутся). На маленькую голову будет велика. Не было индивидуальной упаковки, только почтовый конверт."
negative,Не сказала бы что супер у кого бедры 104-110 лучше не заказывать резинка очень тугая короче так себе
negative,просвечивает не плотная ткань
neutral,"не соответствует фото, очень прозрачный материал, на фото более плотная ткань, , хотя у девочек из отзывов зеленое более менее смотрится"
positive,"на рост 171 короткие, одеваю под длинную куртку и ботинки, немного приспустив - не удобно. Спереди странно топорщатся, очень высоко садятся. Ходила гулять в -19 и еще колготки под низ одевала, через час начала мерзнуть. Короче, брала для прогулок с собакой, видимо носить буду, когда потеплеет( или вообще не буду носить!"
negative,"The purchase came only after 2 weeks after I asked to return my money back. So from the moment I asked to return my money back the relation between me and the seller should have been stopped. So, why the seller continued? I have waited almost 2 month. Sorry, but it shouldn't be my problem. First I have stopped the deal between me and seller and after the purchase came. They made it my problem and didn't gave my money bad. Very bad service. I don't recommend this seller"
negative,куртка пришла короткие рукава не советуб
positive,"65%хлопок 35%полиэстер.к телу приятная.летом в ней не сопреешь.спасибо только цвет прислали не тот.но ничего,и этот понравился"
neutral,качество как у футболки. ткань полупрозрачная
neutral,Очень долгая доставка. Продавец как компьютер. На все вопросы не отвечает.
neutral,Сборки в коленках. Не обтягивают
negative,"никому не рекомендую этого продавца!!! Качество товара ужасное!!! Везде торчат нитки! Впечатление, будто продавец собственноручно шил тунику или пытался научиться шить!!! Зачем обманывать покупателей?!!! Позорник!!!"
neutral,быстрая доставка.но цвет бледный и в бедрах широкие
positive,"продавец после оплаты отправил через два дня. до Казани шла три недели, 1.5недели просто висела в Китае, и 1.5недели уже пришла. На параметры 88-65-95 и рост 170, плечи ширина 40. брала М, подошла. качество нормально, сшито хорошо. тонкая, но мне нравиться. рекомендую)))"
neutral,очень маленькая
neutral,"Внешне села неплохо, но синтетика приличная. Тело дышать не будет."
positive,на русский 48 как раз. шло месяц до мо. запаха нет
neutral,отлично товар как изаказывал качество огонь
neutral,"Очень короткие,нитки торчат,цвет не чистый,а грязнорозовый.Ехало больше двух месяцев."
neutral,"Посылка пришла быстро,до Владимирской области за 20 дней.По размеру подошла ,на ОГ 90-L. Неприятного запаха не было. Рукава сильно обтягивают,вшиты неровно,не все внутренние швы оверложены,из-за чего много торчащих ниток. На передней стороне была затяжка ,после убирания которой остался небольшой след. Цвет несколько отличается,на фото представлен другой оттенок."
